objid,run,rerun,camcol,field,obj,type,ra,dec,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z
587750860901320622,7243,40,2,116,1966,6,112.39631034,-13.96247424,26.246506,25.482878,22.879364,21.645344,20.968647,0.826175,0.722009,0.280568,0.116278,0.282277
587750860901320623,7243,40,2,116,1967,6,112.3987236,-13.9630616,25.205503,26.008183,22.827412,21.815315,21.566393,1.691016,0.555045,0.265232,0.13252,0.449776
587750860901320651,7243,40,2,116,1995,6,112.37696045,-13.92263387,20.345478,18.601263,17.764715,17.433861,17.143412,0.085804,8.365394E-3,6.434714E-3,6.084808E-3,0.012697
587750860901320652,7243,40,2,116,1996,6,112.37631399,-13.92131571,26.341066,24.084124,21.928682,21.364614,21.062937,0.774849,0.509265,0.121637,0.08929,0.30595
587750860901320658,7243,40,2,116,2002,6,112.37589882,-13.91901315,21.434481,19.670094,18.952995,18.659941,18.39023,0.212741,0.015543,0.012066,0.011096,0.031373
587750860901320659,7243,40,2,116,2003,6,112.37485216,-13.91821594,22.85861,21.345961,20.202141,19.797472,19.335953,0.721903,0.05342,0.028799,0.024313,0.068256
587750860901320664,7243,40,2,116,2008,6,112.39661367,-13.95438102,20.389688,19.052526,18.400986,18.127256,17.948294,0.094058,0.011403,9.217007E-3,8.747385E-3,0.024079
587750860901320665,7243,40,2,116,2009,6,112.39849727,-13.95710679,19.85467,18.397284,17.851479,17.626963,17.449179,0.05853,7.692478E-3,6.864941E-3,6.657794E-3,0.015666
587750860901320670,7243,40,2,116,2014,6,112.40050466,-13.95870407,21.178802,19.341366,18.639126,18.330816,18.057636,0.172827,0.012886,0.010053,9.266126E-3,0.024332
587750860901320671,7243,40,2,116,2015,6,112.4006335,-13.95984866,21.63518,20.618778,19.786333,19.415953,19.043447,0.250934,0.030809,0.021203,0.01834,0.052848
587750860901320672,7243,40,2,116,2016,6,112.40679905,-13.96958353,21.212929,19.874016,19.211267,18.891453,18.651037,0.172912,0.018317,0.014381,0.012965,0.03813
587750860901320719,7243,40,2,116,2063,6,112.40665754,-13.95565056,19.969585,18.662403,18.075405,17.824657,17.665119,0.064136,8.677433E-3,7.396151E-3,7.15806E-3,0.017972
587750860901320720,7243,40,2,116,2064,6,112.40593927,-13.95743989,21.582144,20.747509,19.859787,19.569403,19.30731,0.241397,0.034073,0.022425,0.02067,0.066592
587750860901320721,7243,40,2,116,2065,6,112.40438541,-13.95432543,22.108561,22.112192,20.632521,20.168579,19.781565,0.380203,0.102597,0.040628,0.03261,0.099526
587750860901320722,7243,40,2,116,2066,6,112.4053794,-13.95575652,26.399986,22.037342,21.206406,20.698103,20.244869,0.721791,0.096268,0.065615,0.050471,0.149242
587750860901320730,7243,40,2,116,2074,6,112.39047132,-13.92706319,26.378984,25.023777,22.221554,21.356138,20.679966,0.766247,0.777652,0.164562,0.094062,0.229321
587750860901320731,7243,40,2,116,2075,6,112.38929593,-13.92683857,23.510288,23.393862,22.045357,21.693869,21.548334,1.246139,0.31374,0.140937,0.126264,0.464266
587750860901320736,7243,40,2,116,2080,6,112.39494748,-13.93061049,22.012426,20.133385,19.535166,19.327845,19.149254,0.351557,0.021374,0.017612,0.017193,0.057989
587750860901320737,7243,40,2,116,2081,6,112.39457526,-13.93213383,26.025555,23.078993,21.421577,20.293484,19.529873,1.009995,0.237003,0.079531,0.036819,0.081667
587750860901321802,7243,40,2,116,3146,6,112.36368018,-13.92674924,22.800262,20.479176,19.608931,19.290098,18.973766,0.683781,0.027321,0.018561,0.016825,0.05027
587750860901321803,7243,40,2,116,3147,6,112.36323344,-13.92788259,22.494625,22.884165,21.376024,20.772568,20.445883,0.525001,0.195605,0.0752,0.053948,0.178223
587750860901321804,7243,40,2,116,3148,6,112.36427282,-13.92591437,22.997068,23.249613,21.722143,21.10046,20.519751,0.820754,0.271739,0.103335,0.073226,0.194056
587750860901321807,7243,40,2,116,3151,6,112.39138529,-13.96805871,25.457571,21.976433,20.156242,19.105005,18.491915,1.470111,0.091776,0.027975,0.014848,0.033626
587750860901321808,7243,40,2,116,3152,6,112.39208282,-13.96799307,22.21134,21.061691,20.254948,19.917309,19.683723,0.411808,0.043289,0.030153,0.026967,0.091778
587750860901321809,7243,40,2,116,3153,6,112.39286117,-13.96540601,25.796091,21.276802,20.381577,19.977015,19.765804,1.15972,0.051322,0.033071,0.028042,0.097941
